country_rank,username,reputation,worldwide_rank,resolved_reports,thanks_items,signal,impact,user_type,profile,user_id
1,supermancyber,27912,51,648,70,6.99,16.9,individual,https://hackerone.com/supermancyber,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjg0NTYzOA==
2,irwanjugabro,25037,63,669,230,6.21,18.63,individual,https://hackerone.com/irwanjugabro,Z2lkOi8vaGFja2Vyb25lL1VzZXIvOTgzNjU3
3,amr_id,10079,242,264,37,7.0,18.45,individual,https://hackerone.com/amr_id,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjM3OTg3Nw==
4,hrdfrdh,9907,,411,251,5.9,16.82,individual,https://hackerone.com/hrdfrdh,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTcwOTQ2Ng==
5,emanuelharijanto,9532,257,267,144,6.62,18.99,individual,https://hackerone.com/emanuelharijanto,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNjkxNDA0
6,root_geek280,9155,275,243,160,5.87,19.35,individual,https://hackerone.com/root_geek280,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDg5NjAy
7,n13s,6531,407,185,54,6.03,19.69,individual,https://hackerone.com/n13s,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI4ODI5NQ==
8,gnux,5517,500,185,79,4.62,17.57,individual,https://hackerone.com/gnux,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNTkxOTY=
9,back2arie,5089,550,123,68,7.0,20.43,individual,https://hackerone.com/back2arie,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjUyMjI2Nw==
10,auxirie,4993,556,110,22,6.88,18.37,individual,https://hackerone.com/auxirie,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTE2Njk5NA==
11,clearlovefanboi,4762,586,64,81,6.65,31.19,individual,https://hackerone.com/clearlovefanboi,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI3Njg3NA==
12,find_me_here,4600,610,124,43,5.62,19.36,individual,https://hackerone.com/find_me_here,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTI3MTg0NA==
13,ssherlock1,4485,621,114,31,6.4,16.96,individual,https://hackerone.com/ssherlock1,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjgzOTIwNw==
14,vibonacci,4406,635,76,50,6.58,27.36,individual,https://hackerone.com/vibonacci,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjI4NjYwOA==
15,rafiem,4343,641,174,13,6.06,17.58,individual,https://hackerone.com/rafiem,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDI4MzQ3
16,arong3117,4325,643,165,18,6.58,16.37,individual,https://hackerone.com/arong3117,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjYwNDI5NQ==
17,apapedulimu,3957,717,132,34,5.43,17.42,individual,https://hackerone.com/apapedulimu,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTU4NDA3
18,gevakun,3948,719,112,29,6.59,13.9,individual,https://hackerone.com/gevakun,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTgzNjgz
19,cthulhufhtagn,3442,814,57,10,6.89,22.93,individual,https://hackerone.com/cthulhufhtagn,Z2lkOi8vaGFja2Vyb25lL1VzZXIvOTQxNzIy
20,them4les_l1r,2808,983,85,14,6.23,16.87,individual,https://hackerone.com/them4les_l1r,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMTA1OTk3Nw==
21,v0id1,2745,1007,88,22,6.39,21.76,individual,https://hackerone.com/v0id1,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjEzNjg3MQ==
22,frozzipies,2723,1019,56,21,5.86,16.99,individual,https://hackerone.com/frozzipies,Z2lkOi8vaGFja2Vyb25lL1VzZXIvMjEwNDU2OA==
23,muhammaddaffa,2586,1067,67,46,5.8,18.46,individual,https://hackerone.com/muhammaddaffa,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNTg5NzAw
24,tipsen,2493,1105,35,21,7.0,18.33,individual,https://hackerone.com/tipsen,Z2lkOi8vaGFja2Vyb25lL1VzZXIvNDI1MjIzOQ==
